name,group,value
book exibition,1,21
reading culture,1,21
reading books,28,27.1
unhcr foundation,2,21
where is my childhood?,1,21
what is my sin?,1,21
child tax credit,1,21
women's rights watch,1,21
school closed,2,21
school closed in afghanistan,1,21
afghan boys and girls,1,21
world bank help,2,21
world bank aid for afghanistan,2,21
education and health,2,21
world bank donations to afghanistan,1,21
food and agriculture organization,2,21
world refugee day 2022,3,18
save the children fund,1,21
ukrain war,1,21
save afghan childrens,9,21
hungry,2,20.5
mullah omar,1,21
education's rights in afghanistan,4,21
afghanistan journalists,2,21
taliban beat the journalism,1,21
situation of afghan journalists,3,21
gender equality in afghanistan,1,21
gender equality in pakistan,1,21
football federation islamic republic of iran,1,21
syrian immigrants,1,21
mother & child,12,20.8
world swimming championships,1,21
abbas karimi,3,21
breaststroke,1,21
afghan refugee in india,2,21
book reading group,1,21
snowfall in summer,1,21
world refugee day,1,21
education centres in afghanistan,4,21
thinking,6,21
syrian childrens,1,21
unicef in syria,1,21
hunger crisis,11,22.8
wfp help for afghanistan,1,21
wfp help for afghans,1,21
afghan cyclists,2,21
international cycling union,1,21
afghan girls robotics,2,21
afghan girls robotics team,2,21
women power,4,21.8
afghan women power,2,21
hazara people,3,21
jashne gole sorkhe,1,21
mazar e sharif,1,21
anas haqqani,1,21
buddha statues,2,21
global index,3,20.3
international workers'day in afghanistan,1,21
international workers'day,1,21
human.....,1,21
"sirajuddin haqqani,",1,21
fbi report,1,21
why war?,1,21
migration route,4,21
migrant crisis,2,21
poor,2,21
secularism,2,21
afghan migrants in niegbhor countries,3,21
shab - e - barat mubarak,1,21
muhammad fahim dashti's death anniversary,1,21
un secretary-general,2,21
reopen schools to sixth-grade girls,1,21
education for girls,9,21
girls in afghanistan,3,21
donated blood,2,20.5
blood donor,2,20
world blood donor day 2022,11,20.5
afghani fruits,2,21
situation of afghan sikh in the afghanistan,1,21
german peace village foundation,1,21
ewipa,1,21
notatarget,1,21
australian army,1,21
united nation childrens foundation,1,21
kobra ali,1,21
facing acute hunger,1,21
un humanitarian coordinator,1,21
afghan education's rights,1,21
flood victims,3,20.7
mine action,1,21
flood in afghanistan,2,21
women's rights in afghanistan,9,21
womens in afghanistan,2,21
world bank afghanistan donors,1,21
#stophazaragenocide,4,21
2022 winter olympics,1,21
zarifa ghafari,1,21
zarifa ghafari minster of madin wardak,1,21
afghan migrants,3,21
migration crisis,5,22.8
afghanistan humanitarian fund,1,21
to be real.,1,21
animals lover,4,20
united nations mission in afghanistan,2,21
fifa women's 2023 wc qualifiers,3,29.7
fifa club world cup,4,23
secretary-general antonio guterres,1,21
migrant deaths,2,21
grapes harvest season,1,21
foreign minister of britain,1,21
high representative of the european union,1,21
afghan girls right,2,21
world para-swimming championships,1,21
afghanistan independent journalists association,1,21
kapisa province,1,21
afghan journalists not safe,2,21
freedom of journalism,1,21
afghan refugees in india,4,21
violence against children.,1,21
situation of afghanistan,2,21
deborah lyons,1,21
women right,1,21
equality for all,10,20.4
un secretary-general's special representative,1,21
circket,3,18
circket would cup,1,21
sukhasana,1,21
reopen afghanistan universities,1,21
l'afghanistan,1,21
british parliament,3,20.3
ahmad shah massoud,2,21
freedom front launched,1,21
north afghanistan,1,21
lateafghangrilslrean,1,21
heavy flood in afghanistan,1,21
children life,1,21
kabul attack,1,21
bafta,1,21
(ocha),2,21
balkhab district,1,21
mahsa amini,2,21
zohal rahimi,1,21
boys and girls volleyball team,1,21
kubra khademi,1,21
avignon festival,1,21
golghandi hill,1,21
bacha posh in afghanistan,1,21
bacha posh,1,21
afghan women refugees,1,21
summer days,2,20.5
summer time,1,21
let's share our best summertime,1,21
school time,1,21
women's fundamental rights,2,21
human rights activists,5,20.6
taliban fighters beat women,2,21
resistance front of afghanistan,3,21
afghan resistance,1,21
women protesters,1,21
afghan women protest,1,21
afghan women civil society activist,1,21
tashkent international conference,1,21
rina aimri,1,21
frozen afghanistn money,1,21
washington,4,23
buddha of bamyan,1,21
mukhtar majeed,1,21
sales of young girls in afghanistan,1,21
child marriage,3,20.7
save the children organization,3,18.7
poor families,1,21
environmental health,1,21
bread classrooms,1,21
world press freedom day,1,21
emphasizing that journalism in afghanistan,1,21
humanitarian aid foundation,1,21
afghanistan and syria childrens,1,21
the mothers foundation,1,21
i'm stronger than you think,1,21
#youcandoit,1,21
nuristan province,1,21
school buildings,1,21
boys education in afghanistan,1,21
world class skill centre,1,21
sun foundation,1,21
help ukraine refugees,1,21
#holicolours,3,20
afghanistn national cricket team,1,21
afghanistn vs bangladesh,1,21
save children,2,21
#whare's our childhood?,1,21
american soldier,1,21
united nations soldiers,1,21
toot,1,21
situation of religious freedom in afghanistan,1,21
religious freedom commission,1,21
christians in  afghanistan,1,21
asian under-20 championship qualifiers,1,21
afghanistn football federation,1,21
cnn news,1,21
hjiab in afghanistan,2,21
situation of afghan refugees,5,21
afghan national resistance front,2,21
national resistance front attacks,1,21
tehran international book exhibition,1,21
afghan publishers,1,21
afghanistan 🇦🇫,1,21
afghan children’s rights,1,21
save afghan children,1,21
iranian cinema,1,21
fajr film,1,21
taliban and womens,1,21
gander equality,3,21
gander equality in afghanistan,1,21
global community,1,21
situation of afghan women,1,21
pixstory ambassador dwight howard,1,21
love from india,1,21
international committee of the red cross,1,21
happy earth day,2,18.5
#stopwarinukraine,3,21
reopening of colleges and schools,3,20.3
taliban officials,10,21
mullah baradar,1,21
afghanistan'human rights,2,21
royal jet,1,21
explosion on taliban in kabul,1,21
mohammad nader zahir,1,21
talibans being peaceful is a propaganda,2,21
islamic republic of afghanistan,1,21
human remains,1,21
taliban attack tolo tv,1,21
reopening of schools in paktia,1,21
education's rights,1,21
us envoy,1,21
afghanistan and human rights activist,1,21
humanitarian exchange facility,2,21
29 million people need humanitarian aid,1,21
united nations commissioner for human rights,2,21
taliban's violence of human rights,1,21
million children suffering,1,21
women aad girls in afghanistan,1,21
farmers,7,21.9
balkh farmers,1,21
isil,2,21
united nations population fund (unfpa),1,21
unfpa,1,21
fight against gender apartheid,1,21
gender apartheid,1,21
united nations of children found in afghanistan,1,21
beautiful afghanistn,1,21
i am hazara,1,21
genocide of the hazaras people.,1,21
safe afghan children,1,21
afghan refugees send back to afghanistan,2,21
najeeba wazefadost,1,21
european,1,21
afghanistan assets must be frozen,1,21
2022 doha award,1,21
......,3,35
afghanistan children situation,1,21
afghanistan children,1,21
maulvi mujib al-rahman ansari,1,21
killed,1,21
afghan women praise,1,21
gallup poll organization,2,21
sadness,5,19.6
negative experiences,1,21
saffron tea 🍵,1,21
would health organization,1,21
afghan asylum seekers,1,21
children in afghanistan need help,1,21
food insecurity,2,21
awd,1,21
afghan immigrants,7,21
religious refugees,1,21
federal bureau of investigation,1,21
asian cup qualification,1,21
afghan national football team,1,21
afghan people,2,21
nothing,9,19.6
gallup,1,21
eidgah great mosque,1,21
historical,19,21.3
historical place of afghanistan,3,21
happy eid,1,21
eid al - fitr mubarak,1,21
osama,1,21
osama afghani movie,1,21
us special representative,1,21
us ,1,21
women civil,1,21
tashkent,1,21
turkey meeting,1,21
afghan political figures,1,21
hoda khamosh,1,21
time100 most influential people in 2022,2,21.5
afghanistan'huma,1,21
afghan women protesters,1,21
بچه بازی در افغانستان,2,21
داستان واقعی,2,21
afghan womens activists.,1,21
afghan journalists,4,21
women entrepreneurs,2,22
civil society activities,1,21
gul zaman,1,21
let afghan girls learn,2,20
happy valentine day,1,21
valentine's day 2019 and 2021 afghanistan,3,21
national sorry day,2,21
taliban-have-broken-promises-rights,1,21
taliban government municipality,2,21
poor families got aid,1,21
poor countries,1,21
poor afghan families,1,21
let’s start posting on mental healt,1,21
weekend party,1,21
would investigate human rights abuses,1,21
afghan independent human rights commission,1,21
aihrc,1,21
recognize millennial attacks,1,21
prayer,3,20.3
islamic emirate of taliban,1,21
human rights situation in afghanistan,1,21
global friends of afghanistan,1,21
human rights violations,1,21
human rights commission,1,21
human rights violations and war,1,21
death of conscience,1,21
united nations high commissioner of refugees,2,21
humanitarian situation in afghanistan,1,21
international community would press,2,21
equal,2,19.5
afghan civil society activist,2,21
valentine day in afghanistan,1,21
traditional dance,1,21
traditional clothes,5,34.8
united nations officials,2,21
ocha in afghanistan,1,21
climate change in afghanistan,1,21
nowruz festival,1,21
minority of afghan sikhs,1,21
afghan community,1,21
war in ukraine,2,33
war in afghanistan,1,21
thanksgiving history,1,21
thankful,1,21
unhcr indonesia,1,21
"""ukraine is not like iraq and afghanistan",1,21
close the accounts of the taliban on twitter,1,21
benbtaliban,1,21
afghan refugees in iran,3,21
poul pogba,2,29
united nations meeting on afghanistan,5,21
special representative of the secretary-general,1,21
debrah lyons,1,21
afghan women and girls,1,21
situation,2,21
ahmad masoud nrf leader,1,21
neighbors countries,2,20.5
womens,6,24.3
women rights activist,2,20
founded the social media,1,21
rainyday,15,20.4
ohchr,1,21
#saveafghanistan,1,21
pinchuk prize,1,21
generation award,1,21
aziz hazara,1,21
ruling on hijab,1,21
taliban ministry of higher education,2,21
gender segregation,1,21
swimmer of afghan-american descent,1,21
swimmers,3,20.3
un official,2,21
clara daly,1,21
clubhouse chat case,2,16.5
clubhouse,1,21
bollywood serial,1,21
bollywood drama,2,21
earthquake in paktika and khost,1,21
unicef in afghanistan,1,21
children need help,1,21
belgian immigration service,1,21
belgium,13,27.5
belgium refugee general commissioner,1,21
harriet beecher stowe,1,21
it's black history month,1,21
mujahideen victory day,3,21
april 28,2,21
mujahideen,2,21
sk children foundation,2,21
clothes,12,21.8
un office in afghanistan,1,21
heather berr,1,21
women's human rights watch's office,1,21
un staff,1,21
hjiab,1,21
zala zazai,1,21
refugees returned from iran,1,21
immigration organization,1,21
afghan national army commando,1,21
dream,12,22.3
afghan national army,1,21
situation of hazaras in afghanistan,1,21
electronic identity card,1,21
electronic identity card in afghanistan,1,21
taliban ministry of education,1,21
afghanistan circket,1,21
circket would club,1,21
best dancer in bollywood,1,21
saroj khan,1,21
taliban rule,1,21
taliban government constitution,1,21
nowruz,4,21
happy nowruz,2,21
short story,7,21.6
آذادی,1,21
طالبانی وحشی,1,21
equality of afghan women,1,21
historical places,2,22
historical place in afghanistan,1,21
herat,1,21
28 april,1,21
refugee organization in turkey,1,21
asylum seeker,1,21
#stop pushback,2,21
taliban minister of higher education,1,21
women education,1,21
universit of afghanistan,1,21
international peace day,3,19.7
danish siddiqui,2,21
indian journalists,1,21
international cricket council,2,20.5
september 11 attacks,2,21
happy father's day,11,20.5
civil rights activist,2,21
tribes in afghanistan,1,21
my country,1,21
violation of women's rights,1,21
un high commissioner,1,21
unhcr for human rights,1,21
minister of women's affairs,1,21
physician and human rights,1,21
sima samar,3,21
spring festival,1,21
institute for economics and peace,1,21
journalists' immunity committee,1,21
taliban's obstruction.,1,21
afghanistan women's national volleyball team,1,21
afghan women sports,2,21
poum,3,21
shoot life,6,22
reuters photographer indian,1,21
attack on a sikh gurdwara,1,21
7,1,21
cr7,23,24.4
kyrgyzstan,1,21
wakhan,1,21
badakhshan province,1,21
kyrgyz,1,21
buddha statue,1,21
afghan men,1,21
afghan women's national football team,1,21
afghan girls soccer player,1,21
afghan refugees in indonesia,1,21
afghanitstn,2,21
mental association,1,21
reading book compaction,1,21
jaghori district,1,21
equality rights,1,21
male and female students,1,21
ghazni province,1,21
book lovers,9,18.7
tajikistan taliban,1,21
terrorist groups in afghanistan,1,21
tajik citizens,1,21
peace in afghanistan,1,21
international day of peace,1,21
royal society,1,21
british television,1,21
royal society of british television,1,21
asian women achievement award,1,21
humari rezaei,1,21
human rights activities.,1,21
united nations population fund,1,21
world's largest suspension,1,21
acting minister of education,1,21
taliban's acting minister of education,1,21
climbers,1,21
afghan professional mountaineer,1,21
female students in afghanistan,1,21
oldest picture in the world,1,21
real human rights,1,21
i am afghan,1,21
high commissioner for human rights,1,21
the old lie,1,21
jalebi,2,20.5
united nations help,2,21
immigration issues no,2,21
saudi  arabia's women national football team,1,21
women football,26,26.8
oxford philharmonic orchestra,1,21
misc,1,21
edirne immigration office of turkey,1,21
deported afghan migrants,1,21
human rights organisations,1,21
afghan protests,1,21
afghan protester,1,21
kobra  noroozi,1,21
first female minister in afghanistan,2,21
nadima noor,1,21
us ambassador,1,21
linda thomas greenfield,1,21
italian coast guard,1,21
mental health in afghanistan,2,21
tejarat news,1,21
afghan immigration in iran,1,21
me and jasica,1,21
happy world book day,1,21
propagation,1,21
کوچنی اختر مو مبارک شه ،,1,21
عید مبارک,1,21
national women's volleyball team of afghanistan,1,21
federation,1,21
women governors of afghanistan,1,21
peace with taliban,1,21
ahmad maso shah massoud's tomb,1,21
fifa world cup qualifiers,33,27
minaret of jam in danger of collapsing,1,21
martyrs of afghanistan,1,21
afghan refugees in ukraine,1,21
anisa shaheed,2,21
afghan immigrants detained,1,21
international federation of red cross and red crescent movement,1,21
ifrc,1,21
us congressman michael waltz,1,21
michael waltz,1,21
thomas wast,1,21
fox news,1,21
uss government,1,21
kobra noroozi,1,21
nadia nadim,1,21
afghan men and women snowboarders,1,21
forced marriage,1,21
homelessness,7,35.4
afghan mothers,1,21
happy republic day of india,1,21
life donation,1,21
will save someone's life,1,21
it was beautiful life,1,21
pol-e- sorkh culture center,1,21
fighting for life,1,21
summertime,1,21
working children,1,21
street childrens,2,26.5
"unicef ,united nations children's fund",1,21
we are human beings,1,21
why don't we go to school!?,1,21
is studying a crime?,1,21
afghanistan festival,1,21
mother's day in afghanistan,1,21
apricot,1,21
grandfather's gorden,1,21
bitterness,1,21
human rights defenders,1,21
united states national team,2,25.5
voe,1,21
china help afghanistan,1,21
afghan women right,1,21
amnesty uk,1,21
dulwich hamlet fc,1,21
afghan football team,1,21
afghan women football team,1,21
un special rapporteur on afghanistan,1,21
education issue in afghanista,1,21
richard bennett,2,21
un general assembly.,1,21
schoolgirl,1,21
haft-e-sin tablecloth,1,21
asian women's university,1,21
scholarship for afghan womens,1,21
un special rapporteur,2,21
western kabul,1,21
justice system,3,43.7
trans people in afghanistan,1,21
afghan family,1,21
free fight,1,21
.......,3,17.7
american institute of peace,1,21
fundamentalism,1,21
extremism,2,22
chanel perfume,1,21
n 5 chanel perfume,1,21
taliban violence,1,21
situation of afghan in afghanistan,2,21
ended life,1,21
family violence,1,21
forced marriages,1,21
major causes,1,21
cyber ​​army of the islamic republic of afghanistan,1,21
the view of afghan religious scholars,1,21
valentine's promotes western culture,1,21
british journalist and documentary,1,21
isobel yeung,1,21
the matrix resurrection movie,1,21
matrix resurrection,1,21
kabul depressing sunset,1,21
poland border crisis,1,21
poland-belarus border,1,21
khalid qaderi,1,21
international atomic energy agency (iaea),1,21
eid al-adha mubarak,1,21
civil society organizations,1,21
international organisations,1,21
military officers returned to afghanistan,1,21
military members,1,21
military officers of afghanistan,1,21
special envoys of the united nations,1,21
humanitarian aid in afghanistan,1,21
right of girls to education,1,21
🍵,1,21
afghani sweets,2,21
explosions in afghanistan's largest school,1,21
historical monuments of afghanistan,1,21
child mortality,1,21
child mortality in afghanistan,1,21
us representative,1,21
women human rights activists,1,21
 journalists,1,21
 artists and former government officials,1,21
positive change,1,21
43th anniversary of ahmad zahir,1,21
ahmad zahir,1,21
fifaworldcup,37,24.2
new update,3,19.7
stockholm + 50,1,21
stockholm conference,1,21
medium-term strategy,1,21
united nations environment programme,1,21
world environment day 2022,20,23.1
gosh-e fil,1,21
eid sweets,1,21
favorite emojis,1,21
freedom of religion,2,28.5
meeting,8,31.1
girls education rights,1,21
greta thunberg,1,21
kabul money changers strike,1,21
shahzada exchange market,1,21
refreshments,2,20.5
springtime,3,32
colour,3,32
پرواپیشگی,1,21
فرهنگ,1,21
فرهنگ سبک سرانه,1,21
physician and human rights activist,1,21
nowruz in kabul,1,21
afghani culture,1,21
sweets,34,21.3
19-year-old central asian futsal championship,1,21
futsal player,1,21
afghanistan futsal team,1,21
haley carter,1,21
help afghan womens,1,21
child labour of afghanistan,1,21
international centre of journalists,1,21
icoj prize,1,21
best wishes,1,62
2022 world cup,2,29.5
qatar world cup,27,34.3
zlatan ibrahimovic,21,30.6
fest,5,25
free registration,1,43
prize money worth 1.85 lakhs,1,43
tech fest,1,43
treasure hunt,1,43
australia india trade,1,56
business austra india,1,56
aiecta,1,56
idea,2,20.5
writer's block,2,21
what you see is not what you write,1,21
internal conflict,1,21
serial killer,1,21
true crime,2,23.5
jeffrey dahmer,2,21.5
lewandowski,27,41.3
bundesliga,90,28.5
ronaldo,68,28.1
indian football,105,52.9
dfb,2,61
pakistan football,1,61
afc,64,55.8
anwar ali,1,61
igor stimac,3,50.7
indian super league ,10,46.8
gokulam kerala,5,46.6
kerala football,2,61
alireza faghani,1,61
modric,6,41.5
belgium football,1,61
lionel messi,122,36.6
uefa champions league,79,29.3
ligue1,45,26.0
real madrid cf,48,24.8
uefa euro,9,34.3
ministry of youth affairs and sports,1,61
mexico football,1,61
canada football,1,61
indianfootball,10,38
praful patel,5,48.6
russian football,3,47.7
ukraine football,4,45
juventus fc,29,33.3
glasgow rangers,10,43.6
dusan vlahovic,9,42.2
aaron ramsey,8,40.8
serie a,1027,29.4
neymar jr,13,26.2
mbappe,44,28.7
ligue 1,59,25.6
i league,2,61
2022 world cup qatar,1,61
massimiliano allegri,23,38.2
real madrid,379,29.9
courtois,3,41.7
sadio mane,23,30.5
mohamed salah,33,31.6
carlo ancelotti,35,34.4
jurgen kloop,3,40.3
minervafc,1,61
caf,7,37.3
liverpool fc,64,30.0
egypt football,4,45.5
senegal football,3,50.7
kylian mbappe,66,41.4
salah,13,39.3
gokulam kerala fc,4,61
english football,8,32.9
cambodia football,1,61
belarus football,1,61
danilo,1,61
nantes,11,29.6
uruguay football,2,61
luiz suarez,2,61
fc barcelona,20,31.1
neymar,86,33.9
national_football,2,61
serbian football,1,61
european league,4,35.5
afcasiancup,1,61
praful_patel,1,61
conmebol,4,51.8
chile football,1,61
ecuador football,2,61
saudi arabia football,1,61
mumbai city fc,1,61
asian champions league,2,45.5
denmark football,1,61
mohun bagan,5,45.2
ifa,1,61
sweden football,2,47.5
la liga,137,25.0
indian football fans,7,28.7
gustavo alfaro,1,61
connebol,1,61
szczesny,6,47.7
asian football confederation,4,46.5
@nationalfootball,1,61
roshan singh,1,61
bahrain football,1,61
bengaluru fc,2,49
indian women's league,2,45.5
hungary football,1,61
indonesia football,1,61
atkmb,1,61
afc cup,1,61
atk mohun bagan,1,61
all india football federation,3,43
french football,4,35
iran football,1,61
2022 fifa world cup,2,42
zscaler,1,39
blessed by almighty-lord shiva,1,39
chandra taal,1,39
tourist destination,5,24.6
lauhal spiti,1,39
lake,57,22.1
didi contractor,1,39
frank lloyd wright,1,39
"construction from mud,bamboo,slate",1,39
sidhbari,1,39
dharamshala,1,39
prem chopra,2,40
jabeen jalil,2,40
sikandar e azam,2,40
upkaar,2,40
shimla,6,32.2
times of india,3,34
villian,2,40
bikaji cama,2,40
vande matram,3,33.7
fusion of martial arts,1,39
sports and culture,1,39
shiva keshvan,2,40
duncan kennedy,2,40
luge,2,40
travel himachal,1,39
highest motorable road,1,39
komic village,1,39
monastery,2,30
the mystic village,1,39
faith in the divine,1,39
skating with elegance,1,39
dhami,2,40
pathar ka khel,2,40
himachal fairs,2,40
engineering by a shepherd,1,39
kudoos to the legend,1,39
raid de himalya,1,39
speed,5,24.4
driving in hills,4,34.2
democratic right,1,39
first voter,1,39
balloting,1,39
sports with altitude,1,39
135 miles brazil run,1,39
track and field,1,39
kargil international marathon,1,39
sirmour,2,45.5
world war i,3,26.7
lance naik lala ram,1,39
shri naina devi ji,2,40
dacoits,2,40
bilaspur,2,40
photojournalism,3,30.7
newsgraph,2,35
stock images,1,35
daily life,7,24.1
mobile photography,9,22.2
news agency,1,35
free images download,1,35
golfer,3,19.7
dgcopen,1,13
playerschampionship,1,13
champion,3,17.3
golfers,2,23
twins,3,18.3
mahatma gandhi's assassination,1,67
caste system in india,1,67
journalism subjugated,1,67
brentford,42,31.5
brighton,14,28.7
carabao cup,10,32.3
enactusshiv,141,21.3
steph curry,4,32
giannis,1,24
lebron,1,24
statistics football,8,39.1
tactical analysis,2,39
stats football,1,39
mental health for a friend,3,22.7
mental health for children,3,22.7
cardinal,1,24
cardinals,1,24
closet,1,24
jumlanomics,1,74
parliament house,3,38
uttarakhand cm,3,38.7
uttarakhand election,1,74
pegasus project,1,74
union government,1,20
merger,1,20
elonmusk,1,20
hotels,2,20
moviebuff,1,20
billgates,1,20
resume,7,39.7
yogaday,3,20.7
bugatt,1,20
metime,1,20
instagramfeed,1,20
waffles,7,24.3
coding,19,22.2
july1,1,20
interview,24,19.4
airindia,1,20
indigo,3,27.3
phobia,3,23
pixstory adventure,1,39
manchester city,231,28.7
romam abramovich,1,24
anthony martial,7,29.3
laliga,81,26.1
kanyakumari,6,30
kanyakumari to kashmir,16,30
kashi vishwanathar temple,1,30
walking street,4,26
walking shoes,1,30
police officer,3,23.3
encouraging,1,30
tamilnadu police,2,24.5
temple,40,23.3
ancient indian temples,1,30
temples,44,22.3
ancient civilizations,1,30
ancient,10,22.5
ancient architecture,3,23.7
ravi,1,30
tirunelveli,2,30
host,2,25.5
church discipline,1,30
rest,5,32.4
explore,28,22.6
camping,9,30.3
tamilnadu temples,2,30
night,43,21.9
police support,1,30
ancient temples,3,30
temples of india,21,23.9
pancha sabhai sthalangal,1,30
walking from kanyakumari to kashmir,2,30
solo,7,26.9
resting,2,30
highway,4,25.5
local people,1,30
sunrises,5,22.6
hot burning sun,1,30
river mobile,1,30
view,42,26.4
camp,5,25.2
raining,1,30
kayathar,2,30
arulmigu kothandarameswarar temple,1,30
anjugramam,1,30
grow more trees,3,28
ponnakudi,2,30
quarry,1,30
thalavaipuram,1,30
busstop,1,30
highway camping,1,30
drizzle,1,30
dead snake,3,27.3
roadkill,1,30
snake,6,22.5
hot,7,28.6
sunny,10,24.8
days,1,30
sunny day,7,20.4
extremely hot,1,30
hot summer,1,30
plant trees please,1,30
very important,1,30
king,1,30
freedom fighter,2,21
valliyoor,1,30
toll plaza,2,30
nh,1,30
nh44,1,30
longest highway,1,30
walkindia,1,30
camping in town,1,30
local culture & traditions,1,30
toll,2,25
plaza,1,30
women's hockey,1,48
womens soccer,8,33.8
womens football,9,33.4
sports law,2,37
sporting director,2,37
women’s soccer,3,33.7
women’s footbal,1,37
thank you,2,37
50th anniversary,1,37
great not grateful,4,30.5
greatnotgreatful,1,37
concacaf w championship,4,31
concacaf,8,34.8
football love,93,24.4
costa rica,6,33.8
monterrey,1,37
adidas,23,25.0
genius,1,37
football fields,45,23.2
women’s football,2,32
women’s sports,2,29
rayados,1,37
nuevo león,1,37
world cup qualifying,1,37
wwc23,1,37
paris24,1,37
wembley,9,30.3
frenkie de jong,17,26.7
paul pogba,30,28.5
crystal palace,20,28.8
pau torres,7,32.9
edinson cavani,6,30.3
facundo pellistri,1,20
european clubs,3,26.7
muwomen,1,20
mfc,1,20
darwin nunez,15,29.7
parakram diwas,1,13
disability awareness,1,46
juve,1,125
juvventus,1,125
#fifaworldcup,4,32
leo messi,6,35.8
loveforsports,3,23.7
pique,4,28.5
paulo dybala,21,34.8
coppa italia,54,36.1
#emergency,2,23
healthnews,3,26
#scientific facts #nature #human body #thoughts,3,21.3
physical + mental,1,26
#overeating #health #health issues #sedentary lifestyle,1,26
#health concerns,1,26
#allergies,5,26
#nail-biting,1,26
#microsleep #microsleep can be dangerous,1,26
#health benefits #eggs,1,26
#teenage girls,1,26
#nutrition,3,26
listeria,2,26
foodborne bacterial illness,1,26
#babies health #constipitation #toddlers,1,26
#health in children,1,26
dialysis,1,26
#cleaning,1,26
#overeating #binge eating #science behind it #obesity,1,26
#home remedies #eyeinfection,1,26
#stroke,1,26
#children,4,21.2
#hypotonia,1,26
#travelling #health issues #health,1,26
#health facts,5,26
#stqy healthy,1,26
#phage therapy,1,26
#technology,9,20.3
#caffeine #coffee #coffee is bae #coffee is life,1,26
#tumor #virus #disease,1,26
#stay safe,1,26
#immunity,1,26
blood pressure,4,21.8
#health #disease #aids,1,26
alopecia treatment,1,26
#be healthy,2,24
#clean your sorrounding,1,26
air pollution,9,22.2
#food cravings #obesity #overweight,1,26
#environment #human health,1,26
#discovery #penicillin,1,26
#whopping cough #pertusis #disease,1,26
#pandemic #covid 19 #environment #health #human race,1,26
vaccination day,1,26
#athlete,3,23
#disease #rarest disease #health,1,26
#diabetes #treatment #future,1,26
#diet #hedonic eating,1,26
#athletes,1,26
#allergies #babies,1,26
prosopagnosia,1,26
#prevention is better than cure.,1,26
#stat fit #stay healthy,3,26
#heart benefits,1,26
#stroke #disease #staylive #stayhealthy #stayfit,2,26
infection,3,22
head injuries,1,26
#thalassemia #anemia #chronic disease,2,26
#medical disease #rarest disease,1,26
#universal blood donor,1,26
#smoking #smoker's cough,1,26
#proteins,1,26
#infecion #protection #vaccine,1,26
#heart #smoking #world heart day,1,26
#obesity #diabetes #health #health issues,2,26
#stem cell therapy #future of medicine #muscular dystrophy #disease,1,26
#body weight,1,26
arteries,1,26
#allergies #antihistamines,2,26
#balanced,3,22
toes care,1,26
#coffee #caffeine #health facts #stay healthy #stay fit,1,26
#basic tips,1,26
#infection #health,1,26
haalth news,1,26
#abnormal condition,1,26
#anti diet #diet-anti diet,1,26
#diabetes #diabetic patients,1,26
#foods #healthy food #science,1,26
#yoga #health #soulful mind,1,26
lung disease,1,26
#microbes #disease,1,26
#caffeine,2,23
#brain booster,1,26
#monotonous lifestyle,1,26
#lean body,1,26
#bodybuilding,1,26
#aesthetic body,1,26
#healthy lifestyle #allergies,1,26
elders health,2,23
#eggs #eggs for health #healthy lifestyle,1,26
#climate #global climate change #human health,1,26
varicose veins,1,26
#tongue posture,1,26
#father's day #father's love,7,20.1
#kid's health,2,26
#allergies #precautions,1,26
covid measures,1,26
#water is everything,1,26
#kid's health #allergies,1,26
#education,14,20.8
#microbes #plastic,1,26
#overeating,2,23
#binge eating,1,26
#skinny fat,1,26
cholesterol,2,26
#stayhydrated,2,23
#brain health #research,1,26
#human health #climate change,1,26
nervous stomach,1,26
eating disorder,2,24
#research #research activities #human body #sleep,1,26
#rarest #rarest disease #medical condition,1,26
clicktobeyou,7,28
#soccer,5,29.4
ingress,1,56
steven gerrard,10,28.5
transfer window,21,25.9
aston villa,23,29.3
callum chambers,1,21
dcac,103,21.6
g wagon,1,19
tumori solidi,1,45
tumore,16,37.5
ucraina,132,43.6
moda,66,44.9
trasporto aereo,1,45
mare,4,33
inclusione,3,45
vino italiano,7,45
asma,1,45
children’s health,2,45
rivers pollution,1,45
oceano,6,41
suono,1,45
tisana,1,45
pneumologia,1,45
carnevale,1,45
venezia,38,33.9
buoni pasto,1,45
gardens,20,24.8
feste,1,45
sagre,1,45
monferrato,7,31.3
immunoterapia,1,45
fine vita,2,50
eutanasia legale,1,45
suicidio assistito,1,45
avalanche,1,45
ristrutturazione,1,45
bonus casa,1,45
bocconi,1,45
grano,3,37
rifugiati,4,41.5
allergie,3,45
affitto,1,45
femminicidio,1,45
teatro,22,31
fumo,1,45
estate 2022,1,45
rincari,9,39.2
prices of goods,2,33
mais,2,45
emicrania,2,45
shoponline,1,45
acquisti digitali,1,45
ac milan,54,33.0
puma,7,34.1
calcio,1432,31.1
cibo,13,33.2
cibo salato,2,50
ciambellone salato,1,45
ricette,22,52.1
lavoro,12,29.8
cibo italiano,4,47.5
fave,1,45
siccità,37,40.2
incendi,2,33
businesses,2,32
viaggiare,2,45
viaggi,5,40.2
coldiretti,26,21.9
prices increase,2,33
prices of food,2,45
costo energia,1,45
energy cost,1,45
salone del libro,1,45
siti fake,1,45
natura,9,32.1
museo,18,22.3
ucraina war,51,43.8
ucraina refugees,10,25.8
profughi,3,51.7
povertà,5,37.4
sunglasses,2,33
occhiali,1,45
kartell,1,45
femminismo,2,33
morbillo,1,45
demenza,2,45
